film_id,title,category,language,length,is_long_film
121,carol texas,animation,english,151,1
134,champion flatliners,animation,english,51,0
154,clash freddy,animation,english,81,0
160,club graffiti,animation,english,65,0
193,crossroads casualties,animation,english,153,1
208,dares pluto,animation,english,89,0
223,desire alien,animation,english,76,0
239,dogma family,animation,english,122,1
241,donnie alley,animation,english,125,1
243,doors president,animation,english,49,0
245,double wrath,animation,english,177,1
259,duck racer,animation,english,116,0
268,early home,animation,english,96,0
300,falcon volume,animation,english,102,0
314,fight jawbreaker,animation,english,91,0
325,floats garden,animation,english,145,1
326,flying hook,animation,english,69,0
330,forrester comancheros,animation,english,112,0
349,gangs pride,animation,english,185,1
355,ghostbusters elf,animation,english,101,0
402,harper dying,animation,english,52,0
430,hook chariots,animation,english,49,0
433,horn working,animation,english,95,0
456,inch jet,animation,english,167,1
461,insects stone,animation,english,123,1
464,intentions empire,animation,english,107,0
470,ishtar rocketeer,animation,english,79,0
489,juggler hardly,animation,english,54,0
510,lawless vision,animation,english,181,1
541,luke mummy,animation,english,74,0
564,massage image,animation,english,161,1
569,menagerie rushmore,animation,english,147,1
582,miracle virtual,animation,english,162,1
583,mission zoolander,animation,english,164,1
615,nash chocolat,animation,english,180,1
644,oscar gold,animation,english,115,0
649,oz liaisons,animation,english,85,0
651,packer madigan,animation,english,84,0
690,pond seattle,animation,english,185,1
692,potluck mixed,animation,english,179,1
693,potter connecticut,animation,english,115,0
696,pride alamo,animation,english,114,0
703,punk divorce,animation,english,100,0
743,room roman,animation,english,60,0
805,sleepless monsoon,animation,english,64,0
816,snowman rollercoaster,animation,english,62,0
820,sons interview,animation,english,184,1
849,storm happiness,animation,english,57,0
859,sugar wonka,animation,english,114,0
865,sunrise league,animation,english,135,1
880,telemark heartbreakers,animation,english,152,1
886,theory mermaid,animation,english,184,1
887,thief pelican,animation,english,135,1
892,titanic boondock,animation,english,104,0
901,tracy cider,animation,english,142,1
916,turn star,animation,english,80,0
953,wait cider,animation,english,112,0
963,watch tracy,animation,english,78,0
986,wonka sea,animation,english,85,0
48,backlash undefeated,children,english,118,0
59,bear graceland,children,english,160,1
66,beneath rush,children,english,53,0
68,betrayed rear,children,english,122,1
110,cabin flash,children,english,53,0
124,casper dragonfly,children,english,163,1
149,christmas moonshine,children,english,150,1
152,circus youth,children,english,90,0
157,clockwork paradise,children,english,143,1
168,comancheros enemy,children,english,67,0
191,crooked frogmen,children,english,143,1
214,daughter madigan,children,english,59,0
238,doctor grail,children,english,57,0
280,empire malkovich,children,english,177,1
304,fargo gandhi,children,english,130,1
328,forever candidate,children,english,131,1
343,full flatliners,children,english,94,0
344,fury murder,children,english,178,1
354,ghost groundhog,children,english,85,0
356,giant troopers,children,english,102,0
370,gorgeous bingo,children,english,108,0
373,graduate lord,children,english,156,1
392,hall cassidy,children,english,51,0
409,heartbreakers bright,children,english,59,0
423,hollywood anonymous,children,english,69,0
424,holocaust highball,children,english,149,1
450,idols snatchers,children,english,84,0
468,invasion cyclone,children,english,97,0
485,jersey sassy,children,english,60,0
491,jumping wrath,children,english,74,0
505,labyrinth league,children,english,46,0
509,language cowboy,children,english,78,0
515,legally secretary,children,english,113,0
547,magic mallrats,children,english,117,0
553,maker gables,children,english,136,1
573,microcosmos paradise,children,english,105,0
588,model fish,children,english,175,1
608,murder antitrust,children,english,166,1
626,noon papi,children,english,57,0
688,polish brooklyn,children,english,61,0
735,robbers joon,children,english,102,0
755,sabrina midnight,children,english,99,0
761,santa paris,children,english,154,1
768,scarface bang,children,english,102,0
786,shepherd midsummer,children,english,113,0
801,sister freddy,children,english,152,1
833,splendor patton,children,english,134,1
852,strangelove desire,children,english,103,0
853,stranger strangers,children,english,139,1
864,sundance invasion,children,english,92,0
873,sweethearts suspects,children,english,108,0
883,tequila past,children,english,53,0
889,ties hunger,children,english,111,0
896,tootsie pilot,children,english,157,1
918,twisted pirates,children,english,152,1
928,uptown young,children,english,84,0
955,walls artist,children,english,135,1
959,warlock werewolf,children,english,83,0
993,wrong behavior,children,english,178,1
999,zoolander fiction,children,english,101,0
14,alice fantasia,classics,english,94,0
37,arizona bang,classics,english,121,1
60,beast hunchback,classics,english,89,0
91,bound cheaper,classics,english,98,0
116,candidate perdition,classics,english,70,0
131,center dinosaur,classics,english,152,1
166,color philadelphia,classics,english,149,1
180,conspiracy spirit,classics,english,184,1
184,core suit,classics,english,92,0
190,creepers kane,classics,english,172,1
196,cruelty unforgiven,classics,english,69,0
228,detective vision,classics,english,143,1
249,dracula crystal,classics,english,176,1
266,dynamite tarzan,classics,english,141,1
297,extraordinary conquerer,classics,english,122,1
341,frost head,classics,english,82,0
346,galaxy sweethearts,classics,english,128,1
357,gilbert pelican,classics,english,114,0
358,gilmore boiled,classics,english,163,1
425,holy tadpole,classics,english,88,0
432,hope tootsie,classics,english,139,1
445,hyde doctor,classics,english,100,0
469,iron moon,classics,english,46,0
471,island exorcist,classics,english,84,0
480,jeepers wedding,classics,english,84,0
482,jeopardy encino,classics,english,102,0
484,jerk paycheck,classics,english,172,1
487,jingle sagebrush,classics,english,124,1
512,league hellfighters,classics,english,110,0
523,lights deer,classics,english,174,1
525,loathing legally,classics,english,140,1
536,lovely jingle,classics,english,65,0
537,lover truman,classics,english,75,0
548,magnificent chitty,classics,english,53,0
554,malkovich pet,classics,english,159,1
578,million ace,classics,english,142,1
611,musketeers wait,classics,english,73,0
633,october submarine,classics,english,54,0
652,pajama jawbreaker,classics,english,126,1
663,patient sister,classics,english,99,0
694,prejudice oleander,classics,english,98,0
725,requiem tycoon,classics,english,167,1
731,right cranes,classics,english,153,1
744,roots remember,classics,english,89,0
808,sling luke,classics,english,84,0
815,snatchers montezuma,classics,english,74,0
828,spiking element,classics,english,79,0
843,steel santa,classics,english,143,1
862,summer scarface,classics,english,53,0
874,tadpole park,classics,english,155,1
891,timberland sky,classics,english,69,0
895,tomorrow hustler,classics,english,142,1
899,towers hurricane,classics,english,144,1
950,volume house,classics,english,132,1
951,voyage legally,classics,english,78,0
962,wasteland divine,classics,english,85,0
970,westward seabiscuit,classics,english,52,0
7,airplane sierra,comedy,english,62,0
28,anthem luke,comedy,english,91,0
99,bringing hysterical,comedy,english,136,1
119,caper motions,comedy,english,176,1
127,cat coneheads,comedy,english,112,0
159,closer bang,comedy,english,58,0
178,connection microcosmos,comedy,english,115,0
182,control anthem,comedy,english,185,1
188,crazy home,comedy,english,136,1
202,daddy pittsburgh,comedy,english,161,1
242,doom dancing,comedy,english,68,0
247,downhill enough,comedy,english,47,0
265,dying maker,comedy,english,168,1
276,element freddy,comedy,english,115,0
308,ferris mother,comedy,english,142,1
317,fireball philadelphia,comedy,english,148,1
324,flintstones happiness,comedy,english,148,1
332,frankenstein stranger,comedy,english,159,1
335,freedom cleopatra,comedy,english,133,1
365,gold river,comedy,english,154,1
385,groundhog uncut,comedy,english,139,1
388,gunfight moon,comedy,english,70,0
404,hate handicap,comedy,english,107,0
410,heaven freedom,comedy,english,48,0
413,hedwig alter,comedy,english,169,1
443,hurricane affair,comedy,english,49,0
444,hustler party,comedy,english,83,0
478,jaws harry,comedy,english,112,0
502,knock warlock,comedy,english,71,0
522,life twisted,comedy,english,137,1
524,lion uncut,comedy,english,50,0
529,lonely elephant,comedy,english,67,0
555,mallrats united,comedy,english,133,1
568,memento zoolander,comedy,english,77,0
604,mulan moon,comedy,english,160,1
613,mystic truman,comedy,english,92,0
638,operation operation,comedy,english,156,1
657,paradise sabrina,comedy,english,48,0
660,party knock,comedy,english,107,0
672,perfect groove,comedy,english,82,0
680,pinocchio simon,comedy,english,103,0
704,pure runner,comedy,english,121,1
754,rushmore mermaid,comedy,english,150,1
756,saddle antitrust,comedy,english,80,0
765,saturn name,comedy,english,182,1
774,searchers wait,comedy,english,182,1
814,snatch slipper,comedy,english,110,0
837,stage world,comedy,english,85,0
857,strictly scarface,comedy,english,144,1
858,submarine bed,comedy,english,127,1
871,sweden shining,comedy,english,176,1
905,trainspotting strangers,comedy,english,132,1
906,tramp others,comedy,english,171,1
932,valley packer,comedy,english,73,0
938,velvet terminator,comedy,english,173,1
939,vertigo northwest,comedy,english,90,0
978,wisdom worker,comedy,english,98,0
1000,zorro ark,comedy,english,50,0
1,academy dinosaur,documentary,english,86,0
3,adaptation holes,documentary,english,50,0
40,army flintstones,documentary,english,148,1
58,beach heartbreakers,documentary,english,122,1
62,bed highball,documentary,english,106,0
72,bill others,documentary,english,93,0
85,bonnie holocaust,documentary,english,63,0
101,brotherhood blanket,documentary,english,73,0
129,cause date,documentary,english,179,1
142,chicken hellfighters,documentary,english,122,1
150,cider desire,documentary,english,101,0
156,clerks angels,documentary,english,164,1
164,coast rainbow,documentary,english,55,0
199,cupboard sinners,documentary,english,56,0
206,dancing fever,documentary,english,144,1
219,deep crusade,documentary,english,51,0
221,deliverance mulholland,documentary,english,100,0
248,dozen lion,documentary,english,177,1
261,duffel apocalypse,documentary,english,171,1
274,egg igby,documentary,english,67,0
295,expendable stallion,documentary,english,97,0
336,french holiday,documentary,english,99,0
393,halloween nuts,documentary,english,47,0
400,hardly robbers,documentary,english,72,0
407,hawk chill,documentary,english,47,0
412,heavyweights beast,documentary,english,102,0
427,homeward cider,documentary,english,103,0
441,hunter alter,documentary,english,125,1
457,independence hotel,documentary,english,157,1
466,intolerable intentions,documentary,english,63,0
497,kill brotherhood,documentary,english,54,0
544,madison trap,documentary,english,147,1
552,majestic floats,documentary,english,130,1
571,metal armageddon,documentary,english,161,1
575,midsummer groundhog,documentary,english,48,0
576,mighty luck,documentary,english,122,1
587,mod secretary,documentary,english,77,0
589,modern dorado,documentary,english,74,0
616,national story,documentary,english,92,0
622,newsies story,documentary,english,159,1
627,north tequila,documentary,english,67,0
629,notorious reunion,documentary,english,128,1
650,pacific amistad,documentary,english,144,1
670,pelican comforts,documentary,english,48,0
687,pocus pulp,documentary,english,138,1
698,princess giant,documentary,english,71,0
708,quills bull,documentary,english,112,0
712,raiders antitrust,documentary,english,82,0
713,rainbow shock,documentary,english,74,0
734,road roxanne,documentary,english,158,1
757,sagebrush clueless,documentary,english,106,0
776,secret groundhog,documentary,english,90,0
788,ship wonderland,documentary,english,104,0
791,show lord,documentary,english,167,1
812,smoking barbarella,documentary,english,50,0
834,spoilers hellfighters,documentary,english,151,1
855,streak ridgemont,documentary,english,132,1
888,thin sagebrush,documentary,english,53,0
925,united pilot,documentary,english,164,1
926,untouchables sunrise,documentary,english,120,1
943,villain desperate,documentary,english,76,0
945,virginian pluto,documentary,english,164,1
952,wagon jaws,documentary,english,152,1
960,wars pluto,documentary,english,128,1
966,wedding apollo,documentary,english,70,0
973,wife turn,documentary,english,183,1
992,wrath mile,documentary,english,176,1
996,young language,documentary,english,183,1
33,apollo teen,drama,english,153,1
61,beauty grease,drama,english,175,1
64,beethoven exorcist,drama,english,151,1
79,blade polish,drama,english,114,0
98,bright encounters,drama,english,73,0
107,bunch minds,drama,english,63,0
143,chill luck,drama,english,142,1
146,chitty lock,drama,english,107,0
172,coneheads smoochy,drama,english,112,0
173,confessions maguire,drama,english,65,0
179,conquerer nuts,drama,english,173,1
186,craft outfield,drama,english,64,0
204,dalmations sweden,drama,english,106,0
209,darkness war,drama,english,99,0
218,deceiver betrayed,drama,english,122,1
225,destination jerk,drama,english,76,0
230,diary panic,drama,english,107,0
272,edge kissing,drama,english,153,1
282,encounters curtain,drama,english,92,0
366,goldfinger sensibility,drama,english,93,0
368,gone trouble,drama,english,84,0
379,greedy roots,drama,english,166,1
396,hanging deep,drama,english,62,0
401,harold french,drama,english,168,1
403,harry idaho,drama,english,121,1
418,hobbit alien,drama,english,157,1
439,hunchback impossible,drama,english,151,1
473,jacket frisco,drama,english,181,1
504,kwai homeward,drama,english,46,0
514,lebowski soldiers,drama,english,69,0
521,lies treatment,drama,english,147,1
539,luck opus,drama,english,152,1
585,mob duffel,drama,english,105,0
618,necklace outbreak,drama,english,132,1
630,notting speakeasy,drama,english,48,0
643,orient closer,drama,english,118,0
662,paths control,drama,english,118,0
666,paycheck wait,drama,english,145,1
683,pity bound,drama,english,60,0
706,queen luke,drama,english,163,1
709,racer egg,drama,english,147,1
728,reunion witches,drama,english,63,0
739,rocky war,drama,english,145,1
758,saints bride,drama,english,125,1
766,savannah town,drama,english,84,0
771,scorpion apollo,drama,english,137,1
772,sea virgin,drama,english,80,0
775,seattle expecations,drama,english,110,0
790,shootist superfly,drama,english,67,0
803,slacker liaisons,drama,english,179,1
818,something duck,drama,english,180,1
827,spice sorority,drama,english,141,1
882,tenenbaums command,drama,english,99,0
897,torque bound,drama,english,179,1
907,translation summer,drama,english,168,1
910,treatment jekyll,drama,english,87,0
923,unfaithful kill,drama,english,78,0
942,vietnam smoochy,drama,english,174,1
944,virgin daisy,drama,english,179,1
958,wardrobe phantom,drama,english,178,1
969,west lion,drama,english,159,1
979,witches panic,drama,english,100,0
5,african egg,family,english,130,1
31,apache divine,family,english,92,0
43,atlantis cause,family,english,170,1
50,baked cleopatra,family,english,182,1
53,bang kwai,family,english,87,0
63,bedazzled married,family,english,73,0
71,bilko anonymous,family,english,100,0
80,blanket beverly,family,english,148,1
82,blood argonauts,family,english,71,0
83,blues instinct,family,english,50,0
94,braveheart human,family,english,176,1
139,chasing fight,family,english,114,0
145,chisum behavior,family,english,124,1
147,chocolat harry,family,english,101,0
175,confused candles,family,english,122,1
183,conversation downhill,family,english,112,0
213,date speed,family,english,104,0
231,dinosaur secretary,family,english,63,0
262,dumbo lust,family,english,119,0
269,earring instinct,family,english,98,0
273,effect gladiator,family,english,107,0
309,feud frogmen,family,english,98,0
315,finding anaconda,family,english,156,1
345,gables metropolis,family,english,161,1
348,gandhi kwai,family,english,86,0
359,gladiator westward,family,english,173,1
377,grease youth,family,english,135,1
391,half outfield,family,english,146,1
419,hocus frida,family,english,141,1
428,homicide peach,family,english,141,1
437,house dynamite,family,english,109,0
442,hunting musketeers,family,english,65,0
458,indian love,family,english,135,1
476,jason trap,family,english,130,1
479,jedi beneath,family,english,128,1
498,killer innocent,family,english,161,1
499,king evolution,family,english,184,1
528,lolita world,family,english,155,1
534,louisiana harry,family,english,70,0
550,maguire apache,family,english,74,0
557,manchurian curtain,family,english,177,1
603,movie shakespeare,family,english,53,0
610,music boondock,family,english,129,1
617,natural stock,family,english,50,0
621,network peak,family,english,75,0
634,odds boogie,family,english,48,0
639,opposite necklace,family,english,92,0
679,pilot hoosiers,family,english,50,0
682,pittsburgh hunchback,family,english,134,1
695,president bang,family,english,144,1
700,prix undefeated,family,english,115,0
710,rage games,family,english,120,1
715,range moonwalker,family,english,147,1
724,remember diary,family,english,110,0
727,resurrection silverado,family,english,117,0
736,robbery bright,family,english,134,1
753,rush goodfellas,family,english,48,0
778,secrets paradise,family,english,109,0
780,sensibility rear,family,english,98,0
795,siege madre,family,english,111,0
810,slums duck,family,english,147,1
822,soup wisdom,family,english,169,1
824,spartacus cheaper,family,english,52,0
829,spinal rocky,family,english,138,1
832,splash gump,family,english,175,1
866,sunset racer,family,english,48,0
867,super wyoming,family,english,58,0
946,virtual spoilers,family,english,144,1
975,willow tracy,family,english,137,1
6,agent truman,foreign,english,169,1
11,alamo videotape,foreign,english,126,1
15,alien center,foreign,english,46,0
16,alley evolution,foreign,english,180,1
47,baby hall,foreign,english,153,1
52,ballroom mockingbird,foreign,english,173,1
100,brooklyn desert,foreign,english,161,1
104,bugsy song,foreign,english,119,0
112,calendar gunfight,foreign,english,120,1
128,catch amistad,foreign,english,183,1
148,chocolate duck,foreign,english,132,1
170,command darling,foreign,english,120,1
185,cowboy doom,foreign,english,146,1
192,crossing divorce,foreign,english,50,0
198,crystal breaking,foreign,english,184,1
201,cyclone family,foreign,english,176,1
207,dangerous uptown,foreign,english,121,1
246,doubtfire labyrinth,foreign,english,154,1
290,everyone craft,foreign,english,163,1
311,fiction christmas,foreign,english,72,0
337,frida slipper,foreign,english,73,0
353,gentlemen stage,foreign,english,125,1
376,grapes fury,foreign,english,155,1
380,greek everyone,foreign,english,176,1
399,happiness united,foreign,english,100,0
414,hellfighters sierra,foreign,english,75,0
416,highball potter,foreign,english,110,0
421,holiday games,foreign,english,78,0
431,hoosiers birdcage,foreign,english,176,1
435,hotel happiness,foreign,english,181,1
440,hunger roof,foreign,english,105,0
452,illusion amelie,foreign,english,122,1
455,impossible prejudice,foreign,english,103,0
459,informer double,foreign,english,74,0
460,innocent usual,foreign,english,178,1
467,intrigue worst,foreign,english,181,1
486,jet neighbors,foreign,english,59,0
493,kane exorcist,foreign,english,92,0
500,kiss glory,foreign,english,163,1
531,lose inch,foreign,english,137,1
533,lost bird,foreign,english,98,0
545,madness attacks,foreign,english,178,1
565,matrix snowman,foreign,english,56,0
566,maude mod,foreign,english,72,0
567,meet chocolate,foreign,english,80,0
584,mixed doors,foreign,english,180,1
595,moon bunch,foreign,english,83,0
605,mulholland beast,foreign,english,157,1
607,muppet mile,foreign,english,50,0
623,newton labyrinth,foreign,english,75,0
640,opus ice,foreign,english,102,0
641,orange grapes,foreign,english,76,0
661,past suicides,foreign,english,157,1
669,pearl destiny,foreign,english,74,0
674,pet haunting,foreign,english,99,0
689,pollock deliverance,foreign,english,137,1
705,purple movie,foreign,english,88,0
726,reservoir adaptation,foreign,english,61,0
738,rocketeer mother,foreign,english,178,1
769,school jacket,foreign,english,151,1
770,scissorhands slums,foreign,english,147,1
789,shock cabin,foreign,english,79,0
792,shrek license,foreign,english,154,1
821,sorority queen,foreign,english,184,1
845,stepmom dream,foreign,english,48,0
900,town ark,foreign,english,136,1
908,trap guys,foreign,english,110,0
929,usual untouchables,foreign,english,128,1
947,vision torque,foreign,english,59,0
957,war notting,foreign,english,80,0
961,wash heavenly,foreign,english,161,1
971,whale bikini,foreign,english,109,0
984,wonderful drop,foreign,english,126,1
46,autumn crow,games,english,108,0
106,bulworth commandments,games,english,61,0
117,candles grapes,games,english,135,1
141,chicago north,games,english,185,1
189,creatures shakespeare,games,english,139,1
200,curtain videotape,games,english,133,1
211,darling breaking,games,english,165,1
215,dawn pond,games,english,57,0
217,dazed punk,games,english,120,1
227,details packer,games,english,88,0
232,dirty ace,games,english,147,1
236,divine resurrection,games,english,100,0
264,dwarfs alter,games,english,101,0
281,encino elf,games,english,143,1
302,fantasia park,games,english,131,1
306,feathers metal,games,english,104,0
310,fever empire,games,english,158,1
316,fire wolves,games,english,173,1
331,forward temple,games,english,90,0
352,gathering calendar,games,english,176,1
362,glory tracy,games,english,115,0
381,grinch massage,games,english,150,1
382,grit clockwork,games,english,137,1
387,gun bonnie,games,english,100,0
406,haunting pianist,games,english,181,1
408,head stranger,games,english,69,0
438,human graffiti,games,english,68,0
447,ice crossing,games,english,131,1
483,jericho mulan,games,english,171,1
507,ladybugs armageddon,games,english,113,0
508,lambs cincinatti,games,english,144,1
546,madre gables,games,english,98,0
556,maltese hope,games,english,127,1
560,mars roman,games,english,62,0
563,massacre usual,games,english,165,1
591,monsoon cause,games,english,182,1
596,moonshine cabin,games,english,171,1
597,moonwalker fool,games,english,184,1
614,name detective,games,english,178,1
624,nightmare chill,games,english,149,1
646,outbreak divine,games,english,169,1
654,panky submarine,games,english,93,0
684,pizza jumanji,games,english,173,1
699,private drop,games,english,106,0
701,psycho shrunk,games,english,155,1
742,roof champion,games,english,101,0
746,rouge squad,games,english,118,0
747,roxanne rebel,games,english,171,1
762,sassy packer,games,english,154,1
781,seven swarm,games,english,127,1
807,sleuth orient,games,english,87,0
835,spy mile,games,english,112,0
840,stampede disturbing,games,english,75,0
842,state wasteland,games,english,113,0
861,suit walls,games,english,111,0
919,tycoon gathering,games,english,82,0
934,vanilla day,games,english,122,1
941,videotape arsenic,games,english,145,1
949,volcano texas,games,english,157,1
956,wanda chamber,games,english,107,0
976,wind phantom,games,english,111,0
2,ace goldfinger,horror,english,48,0
4,affair prejudice,horror,english,117,0
8,airport pollock,horror,english,54,0
9,alabama devil,horror,english,114,0
13,ali forever,horror,english,150,1
24,analyze hoosiers,horror,english,181,1
30,anything savannah,horror,english,82,0
34,arabia dogma,horror,english,62,0
35,arachnophobia rollercoaster,horror,english,147,1
65,behavior runaway,horror,english,100,0
92,bowfinger gables,horror,english,72,0
122,carrie bunch,horror,english,114,0
171,commandments express,horror,english,59,0
222,desert poseidon,horror,english,64,0
258,drums dynamite,horror,english,96,0
275,egypt tenenbaums,horror,english,85,0
277,elephant trojan,horror,english,126,1
301,family sweet,horror,english,155,1
313,fidelity devil,horror,english,118,0
334,freddy storm,horror,english,65,0
351,gaslight crusade,horror,english,106,0
415,high encino,horror,english,84,0
475,japanese run,horror,english,135,1
494,karate moon,horror,english,120,1
495,kentuckian giant,horror,english,169,1
506,lady stage,horror,english,67,0
527,lola agent,horror,english,85,0
535,love suicides,horror,english,181,1
593,monterey labyrinth,horror,english,158,1
600,motions details,horror,english,166,1
653,panic club,horror,english,102,0
658,paris weekend,horror,english,121,1
665,patton interview,horror,english,175,1
702,pulp beverly,horror,english,89,0
716,reap unfaithful,horror,english,136,1
722,reef salute,horror,english,123,1
737,rock instinct,horror,english,102,0
740,rollercoaster bringing,horror,english,153,1
749,rules human,horror,english,153,1
799,simon north,horror,english,51,0
800,sinners atlantis,horror,english,126,1
804,sleeping suspects,horror,english,129,1
830,spirit flintstones,horror,english,149,1
854,strangers graffiti,horror,english,119,0
856,streetcar intentions,horror,english,73,0
870,swarm gold,horror,english,123,1
876,tarzan videotape,horror,english,91,0
881,temple attraction,horror,english,71,0
885,texas watch,horror,english,179,1
904,train bunch,horror,english,71,0
909,treasure command,horror,english,102,0
922,undefeated dalmations,horror,english,107,0
965,watership frontier,horror,english,112,0
990,world leathernecks,horror,english,171,1
995,yentl idaho,horror,english,86,0
998,zhivago core,horror,english,105,0
12,alaska phantom,music,english,136,1
17,alone trip,music,english,82,0
20,amelie hellfighters,music,english,79,0
51,balloon homeward,music,english,75,0
54,banger pinocchio,music,english,113,0
74,birch antitrust,music,english,162,1
76,birdcage casper,music,english,103,0
86,boogie amelie,music,english,121,1
133,chamber italian,music,english,117,0
158,clones pinocchio,music,english,124,1
161,clue grail,music,english,70,0
174,confidential interview,music,english,180,1
220,deer virginian,music,english,106,0
244,dorado notting,music,english,139,1
255,driving polish,music,english,175,1
278,elf murder,music,english,155,1
284,enemy odds,music,english,77,0
333,freaky pocus,music,english,126,1
363,go purple,music,english,54,0
378,greatest north,music,english,93,0
384,grosse wonderful,music,english,49,0
398,hanover galaxy,music,english,47,0
411,heavenly gun,music,english,49,0
426,home pity,music,english,185,1
454,impact aladdin,music,english,180,1
462,insider arizona,music,english,78,0
477,jawbreaker brooklyn,music,english,118,0
516,legend jedi,music,english,59,0
540,lucky flying,music,english,97,0
562,masked bubble,music,english,151,1
581,minority kiss,music,english,59,0
592,monster spartacus,music,english,107,0
636,oleander clue,music,english,161,1
647,outfield massacre,music,english,129,1
673,personal ladybugs,music,english,118,0
718,rebel airport,music,english,73,0
721,reds pocus,music,english,182,1
741,roman punk,music,english,81,0
752,runner madigan,music,english,101,0
767,scalawag duck,music,english,183,1
797,silence kane,music,english,67,0
819,song hedwig,music,english,165,1
877,taxi kick,music,english,64,0
879,telegraph voyage,music,english,148,1
884,terminator club,music,english,88,0
921,uncut suicides,music,english,172,1
936,vanishing rocky,music,english,123,1
980,wizard coldblooded,music,english,75,0
983,won dares,music,english,105,0
987,words hunter,music,english,116,0
997,youth kick,music,english,179,1
22,amistad midsummer,new,english,85,0
25,angels life,new,english,74,0
32,apocalypse flamingos,new,english,119,0
45,attraction newton,new,english,83,0
77,birds perdition,new,english,61,0
90,boulevard mob,new,english,63,0
93,brannigan sunrise,new,english,121,1
95,breakfast goldfinger,new,english,123,1
96,breaking home,new,english,169,1
108,butch panther,new,english,67,0
109,butterfly chocolat,new,english,89,0
136,chaplin license,new,english,146,1
144,chinatown gladiator,new,english,61,0
155,cleopatra devil,new,english,150,1
163,clyde theory,new,english,139,1
216,day unfaithful,new,english,113,0
226,destiny saturday,new,english,56,0
251,dragonfly strangers,new,english,133,1
267,eagles panky,new,english,140,1
270,earth vision,new,english,85,0
283,ending crowds,new,english,85,0
289,eve resurrection,new,english,66,0
305,fatal haunted,new,english,91,0
320,flamingos connecticut,new,english,80,0
321,flash wars,new,english,123,1
340,frontier cabin,new,english,183,1
364,godfather diary,new,english,73,0
436,hours rage,new,english,122,1
448,idaho love,new,english,172,1
465,interview liaisons,new,english,59,0
481,jekyll frogmen,new,english,58,0
490,jumanji blade,new,english,121,1
492,jungle closer,new,english,134,1
538,loverboy attacks,new,english,162,1
551,maiden home,new,english,138,1
558,mannequin worst,new,english,71,0
561,mask peach,new,english,123,1
580,mine titans,new,english,166,1
590,money harold,new,english,135,1
632,nuts ties,new,english,145,1
635,oklahoma jumanji,new,english,58,0
675,phantom glory,new,english,60,0
677,pianist outfield,new,english,136,1
685,platoon instinct,new,english,132,1
686,pluto oleander,new,english,84,0
720,redemption comforts,new,english,179,1
730,ridgemont submarine,new,english,46,0
750,run pacific,new,english,145,1
751,runaway tenenbaums,new,english,181,1
759,salute apollo,new,english,73,0
760,samurai lion,new,english,110,0
806,sleepy japanese,new,english,137,1
846,sting personal,new,english,93,0
847,stock glass,new,english,160,1
913,troopers metal,new,english,115,0
920,unbreakable karate,new,english,62,0
933,vampire whale,new,english,126,1
935,vanished garden,new,english,142,1
937,varsity trip,new,english,85,0
948,voice peach,new,english,139,1
